rlnLC_ChainComponent,count
3,2
6,3
22,3
31,2
32,3
35,2
38,3
39,2
41,3
43,2
45,3
47,2
48,2
54,2
55,2
56,2
66,2
78,2
79,3
80,2
81,2
86,2
90,3
92,3
93,2
102,3
107,2
109,2
111,2
118,3
120,2
122,3
129,2
133,2
135,2
138,2
153,2
158,2
159,4
160,5
162,2
164,2
165,3
166,2
170,2
173,4
188,2
189,2
197,2
205,2
207,2
209,2
213,2
215,2
234,2
236,2
244,2
246,2
250,5
257,2
265,2
273,2
277,2
278,2
294,3
296,2
301,3
302,2
303,2
309,4
310,2
312,2
315,2
319,2
328,2
331,2
332,2
333,3
337,2
338,5
339,2
344,3
345,3
352,3
353,2
361,2
367,2
374,2
377,2
379,2
384,3
397,2
398,2
411,3
416,2
417,2
420,2
432,2
433,3
435,2
443,3
445,2
455,5
456,3
457,2
461,4
469,2
475,2
480,2
482,3
487,2
494,2
