MAX_HALF_BENDING_DEG,Precision,Recall,F1_Score
10,1.0,0.2105,0.3478
20,0.9608,0.8596,0.9074
30,1.0,1.0,1.0
40,1.0,1.0,1.0
50,1.0,1.0,1.0
60,1.0,1.0,1.0
70,1.0,1.0,1.0
80,1.0,1.0,1.0
90,1.0,1.0,1.0
100,1.0,1.0,1.0
110,1.0,1.0,1.0
120,0.9828,1.0,0.9913
130,0.9828,1.0,0.9913
140,0.9828,1.0,0.9913
150,0.9828,1.0,0.9913
160,0.9828,1.0,0.9913
170,0.9828,1.0,0.9913
180,0.9828,1.0,0.9913
