DIST_CUTOFF_NM,Precision,Recall,F1_Score
10,0.3261,0.2632,0.2913
15,0.7843,0.7018,0.7407
20,0.9821,0.9649,0.9735
25,1.0,1.0,1.0
30,1.0,1.0,1.0
35,0.9828,1.0,0.9913
40,0.9828,1.0,0.9913
45,0.9828,1.0,0.9913
50,0.9828,1.0,0.9913
55,0.9828,1.0,0.9913
60,0.9828,1.0,0.9913
65,0.9661,1.0,0.9828
70,0.9661,1.0,0.9828
75,0.9661,1.0,0.9828
80,0.9661,1.0,0.9828
85,0.9661,1.0,0.9828
90,0.9661,1.0,0.9828
