i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
17,34,34,29,0,1,0.4557190051907878,26.110775641332594,9.139637360608186,9.060754162998213,0.473737647227842,0.0,inf
1,23,66,77,0,1,0.5416841458368553,31.03621538560079,9.375607048810368,9.261401455898909,0.44324740432208765,0.0,inf
10,22,19,23,0,1,0.4826870547530735,27.655931062951193,10.52538735895418,10.423506346837659,0.4345008009612107,0.0,inf
8,31,11,12,0,1,0.3263449316360618,18.698187248231722,13.78516559355011,13.724074723307,0.40778470985534643,0.0,inf
39,58,40,39,1,0,0.326345042274676,18.698193587357366,13.785165996246658,13.724075082851593,0.4077846729224677,0.0,inf
18,41,13,17,0,1,0.25571321186766033,14.651287805751572,14.969698355952612,14.92894595902562,0.4020105268434613,0.0,inf
18,31,13,12,1,0,0.3264632081366212,18.704963992529354,14.39483600465619,14.330997108287841,0.3955117695793267,0.0,inf
28,39,41,40,1,0,0.32646327825644544,18.70496801009934,14.39483655002553,14.330997623851644,0.3955117411388146,0.0,inf
15,56,5,4,1,0,0.3264632570905984,18.704966797385637,14.394837394266027,14.33099847261487,0.3955117297728245,0.0,inf
10,51,19,26,1,0,0.26985335686865897,15.461458436011803,16.871642397771573,16.82049701418037,0.3622661549969228,0.0,inf
11,48,32,28,1,0,0.41304564313000225,23.665772097615896,15.368300126508904,15.259285576558563,0.35651889838603756,0.0,inf
49,55,20,25,1,0,0.4880826013613197,27.96507311176983,14.886556923797611,14.739231962053248,0.3481747114597956,0.0,inf
45,58,44,39,0,1,0.4880826301511867,27.965074761307697,14.886557346316138,14.739232363061962,0.34817469772286735,0.0,inf
8,26,11,16,1,0,0.48808268927023457,27.965078148579632,14.88655793455431,14.739232909895414,0.3481746743783593,0.0,inf
36,61,6,7,0,1,0.7642436563825873,43.78793603036857,13.20270917420262,12.883743293284342,0.3176935369157396,0.0,inf
14,33,78,79,0,1,0.9481097827436977,54.32268906627929,12.063599856998323,11.616811619714092,0.29916338194483044,0.0,inf
29,54,10,14,0,1,0.8092272424778373,46.36530566098977,13.915305691272863,13.538717373092595,0.29791849176293517,0.0,inf
42,50,67,85,1,0,1.0617817433206374,60.835612656315405,12.04096730293153,11.483270168342607,0.2785940382335795,0.0,inf
16,60,81,82,0,1,0.9733879352350633,55.77102051792264,13.470451047135473,12.94492072056708,0.27439117132722834,0.0,inf
29,41,10,17,1,0,0.5940656153814434,34.03745251519875,20.06718092514707,19.77339708822684,0.25118816406020306,0.0,inf
9,61,1,7,1,0,1.217034443043762,69.73093710846234,12.138111547111574,11.402749365570216,0.25115279816224423,0.0,inf
27,40,43,36,0,1,1.2170344863963523,69.73093959238278,12.138111170555128,11.402748960408067,0.2511527959593092,0.0,inf
16,35,81,80,1,0,1.4866628537105149,85.17950707648743,8.916680488953897,8.117930508499029,0.24850980140137574,0.0,inf
35,52,80,74,1,0,1.1030201325350644,63.19839831221989,14.563590741042468,13.83645263536955,0.23921705417152359,0.0,inf
25,52,73,74,0,1,1.3351263710457908,76.49710617754137,12.948792493310387,12.008244995637588,0.22370938204127946,0.0,inf
0,48,31,28,0,1,0.653293788346963,37.43097685439386,22.176179450432503,21.783918272800136,0.21768445577211704,0.0,inf
37,46,63,69,1,0,1.4600672595664708,83.65569177839085,12.442447520117732,11.366328757303034,0.21190227820751087,0.0,inf
25,33,73,79,1,0,1.4600672973745377,83.65569394463351,12.442448515581955,11.366329612427151,0.21190226256010172,0.0,inf
1,2,66,65,1,0,1.4704354876993064,84.24974749143114,13.027182857037873,11.884867623198415,0.20444271840969475,0.0,inf
12,30,89,86,0,1,1.3976824646061918,80.08130632137785,15.334559484063396,14.11650705842475,0.1908017655387677,0.0,inf
14,23,78,77,1,0,1.6895631644536757,96.80483854396346,11.728316438933053,10.38225927708619,0.18975431185296224,0.0,inf
9,26,1,16,0,1,1.5507362728086793,88.85064356978516,14.700123707320529,13.27082953822182,0.17866628221497083,0.0,inf
21,38,56,57,0,1,1.7282198881768143,99.01970566310254,13.033549212726042,11.471044983643194,0.1734447086619984,0.0,inf
4,24,46,45,1,0,1.7429294055723341,99.86249892854009,14.220987944920013,12.488093124382894,0.16192326664084175,0.0,inf
