i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
45,46,40,36,1,0,0.20598741423772943,11.8022094686349,4.7467598323050115,4.73837224521559,0.6917894363646688,0.0,inf
21,30,20,27,0,1,0.22810773833486822,13.069610680862485,6.258291814352768,6.244732362621236,0.6324636773325567,0.0,inf
9,18,58,41,0,1,0.193008679819418,11.058582763044475,7.614767584233856,7.602953587193941,0.6043441122414963,0.0,inf
2,6,37,34,0,0,0.6741389441939868,38.62531630772077,1.7353331012896414,1.7026590510035062,0.5969410965149798,0.0,inf
15,31,18,17,1,1,0.35849308791972434,20.54014092241256,8.255413207013111,8.211277362495437,0.5267683195881152,0.0,inf
24,32,26,25,0,0,0.424519513385498,24.323176437936493,7.415309783475364,7.35975327032415,0.5267532769993747,0.0,inf
1,43,6,3,1,1,0.24444452351291288,14.005639522376324,10.116939690696974,10.091770215708843,0.5160945976882066,0.0,inf
8,28,13,10,1,1,0.2444449251266076,14.005662533146026,10.11694005038029,10.09177049185391,0.5160944564540959,0.0,inf
10,37,47,42,1,1,0.16513537902488556,9.461560266419122,11.346388611757723,11.333500816507332,0.5104575094763862,0.31396856354074554,1.6258236293460673
13,17,4,7,1,0,0.40221912768906776,23.04545845601713,8.408889671398335,8.352321185225723,0.508390648874129,0.0,inf
4,16,14,9,1,1,0.16656519941168413,9.543482940044443,12.035246807694556,12.021338903739176,0.4927264930501781,0.3292433247912828,1.4965420889323486
9,25,58,57,1,0,0.3407298018734164,19.52237960167549,11.235524798681606,11.181253265817398,0.4590061965785499,0.0,inf
1,19,6,5,0,1,0.4334956733207431,24.837472518460462,10.50086255534896,10.41883437829519,0.44887310655796886,0.30808521116998777,1.4569771293251093
8,34,13,12,0,1,0.43349596900274867,24.837489459791456,10.500862636448074,10.41883434712284,0.44887302024328474,0.30808528344109576,1.4569765073803236
32,47,25,24,1,1,0.3969440799640555,22.743220484643842,10.997071880096913,10.925016058829824,0.4481819261531114,0.0,inf
22,38,35,38,0,1,0.19209556596717287,11.006265193095897,13.612697491058784,13.591777219954405,0.44801583104755105,0.28168305303378083,1.5904962198553805
13,43,4,3,0,0,0.46478798727240556,26.63039003908906,10.234885323674403,10.143007921427362,0.44591029082566175,0.0,inf
25,40,57,45,1,0,0.30468783820943984,17.457327198365764,12.386841636552353,12.338983520479873,0.4433869632420953,0.0,inf
37,44,42,48,0,1,0.39575533362744797,22.675110336644593,11.550687121439147,11.47545560091502,0.4362760793622997,0.0,inf
17,41,7,2,1,0,0.39575554606974295,22.675122508691484,11.550688076143944,11.475456468790904,0.43627599953242047,0.0,inf
19,26,5,16,0,1,0.4139724245905638,23.718872763837044,12.276608487701433,12.18913436156151,0.41587378961800336,0.2928018400199911,1.4203250552988653
0,34,1,12,1,0,0.4747478632850346,27.20104889908629,12.29033585793519,12.175241265677766,0.39981606723040053,0.27831638337085685,1.4365523954716142
12,29,32,31,0,1,0.3341510127882891,19.145442752790967,14.428534110485502,14.361500847126292,0.39291819373264714,0.2751849998551003,1.4278328903811606
26,31,16,17,0,0,0.5752834247938836,32.96131226452123,12.665669280712812,12.491735546772057,0.36805596742802915,0.0,inf
5,7,55,49,1,0,0.29675506191512174,17.00281259687991,16.63665202598283,16.575674067385137,0.36032360761626736,0.35904417242324843,1.0035634478743487
2,22,37,35,1,1,0.4366073568960269,25.0157588545044,16.38211756220163,16.25230820812276,0.3338515805855245,0.0,inf
14,36,53,54,1,0,0.42358126480968716,24.26941875440837,16.689317880514004,16.564830090013658,0.3315004531436395,0.32767031796119667,1.0116889903433255
27,30,28,27,1,0,0.35840148149933226,20.534892261147796,17.781267587766735,17.686252249502513,0.32718521917100785,0.22876401409428684,1.4302302766734805
3,10,46,47,1,0,0.2668584561849925,15.28986326677687,19.139572093029667,19.082831180305842,0.32404723904940136,0.2170522114932274,1.4929460373616719
6,39,34,30,1,0,0.4976636571071592,28.514027169286,16.349486615917787,16.18128889138954,0.3216482072006087,0.29005166578073416,1.1089341836214797
7,36,49,54,1,1,0.5136894881334191,29.432239650280497,16.416880358294783,16.236973328749794,0.31731227260019423,0.0,inf
3,18,46,41,0,0,0.25519110355762387,14.621373203137775,20.71456495595109,20.65840301625024,0.3017404856556183,0.0,inf
20,44,44,48,1,0,0.4090585837704669,23.437330423646387,18.95429187728096,18.822417955254224,0.2987556163697804,0.23828833805700503,1.2537567671411176
35,39,33,30,1,1,0.684880659777856,39.24077127540638,15.47313395345067,15.172491637336217,0.29829711248851876,0.28984809758594127,1.0291498028551742
24,27,26,28,1,0,0.3856522188592641,22.096244500491363,22.40264633111427,22.264075341247302,0.25521571650956637,0.0,inf
